id_establecimiento,financiamiento,tiene_terapia,id_departamento,id_provincia
52060582303593,privado,False,658,6
50700632177115,estatal,False,63,70
50063712303595,privado,False,371,6
50700142177124,estatal,False,14,70
50420212353496,privado,False,21,42
50061262303599,privado,False,126,6
52060352303601,privado,False,35,6
50700562177185,estatal,False,56,70
50701262177194,estatal,False,126,70
50420212353498,privado,False,21,42
50701052177105,estatal,False,105,70
50701052177106,estatal,False,105,70
50701052177133,estatal,False,105,70
50701052177142,estatal,False,105,70
50700352177156,estatal,False,35,70
50700772177161,estatal,False,77,70
50860352192611,estatal,False,35,86
50420212353502,privado,False,21,42
50420212353504,privado,False,21,42
53062522303609,privado,False,252,6
50141402231525,estatal,False,140,14
50140422231522,estatal,False,42,14
50140912231514,estatal,False,91,14
50140422231524,estatal,False,42,14
50141472231555,estatal,False,147,14
50141472231552,estatal,False,147,14
10661542173034,estatal,False,154,66
50060582303655,privado,False,658,6
51062702303859,privado,False,270,6
50062742303861,privado,False,274,6
50060582303863,privado,False,658,6
50060582303867,privado,False,658,6
10660282373033,privado,True,28,66
50700912177092,estatal,False,91,70
50700772177099,estatal,False,77,70
50700142177096,estatal,False,14,70
50020012315560,privado,False,3,2
52020012315753,privado,False,5,2
50300492142201,estatal,False,49,30
50300772142172,estatal,False,77,30
50300772142268,estatal,False,77,30
50300772142285,estatal,False,77,30
50300772142375,estatal,False,77,30
50300772142300,estatal,False,77,30
50300772142248,estatal,False,77,30
50300772142301,estatal,False,77,30
50301052142159,estatal,False,105,30
50301052142166,estatal,False,105,30
50301052242217,estatal,False,105,30
50301052142498,estatal,False,105,30
50301132142227,estatal,False,113,30
50821192284537,estatal,False,119,82
51220212327354,privado,False,21,22
50820492184767,estatal,False,49,82
50820492184775,estatal,False,49,82
50820492184909,estatal,False,49,82
50820492184530,estatal,False,49,82
50820492184651,estatal,False,49,82
50820492184763,estatal,False,49,82
50820492184576,estatal,False,49,82
50820492184976,estatal,False,49,82
50820492184584,estatal,False,49,82
50820492184671,estatal,False,49,82
50820492184498,estatal,False,49,82
50820492184885,estatal,False,49,82
50820492184895,estatal,False,49,82
50820492184703,estatal,False,49,82
50861262192167,estatal,False,126,86
10661332173028,estatal,False,133,66
10660562173062,estatal,False,56,66
10661262173068,estatal,True,126,66
10660842173069,estatal,False,84,66
10660352173070,estatal,False,35,66
53661122373551,privado,False,112,66
53661262373570,privado,False,126,66
50064412201333,estatal,False,441,6
50064412201332,estatal,False,441,6
50064412201329,estatal,False,441,6
10101052124016,estatal,False,105,10
50101122124300,estatal,False,112,10
50740562380234,privado,False,56,74
50700422177155,estatal,False,42,70
50700422177136,estatal,False,42,70
52740352380251,privado,False,35,74
10740492180017,estatal,False,49,74
50861752192217,estatal,False,175,86
50861682192223,estatal,False,168,86
50861752192230,estatal,False,175,86
50861402192121,estatal,False,140,86
