,establecimiento_id,provincia_id,provincia_nombre,departamento_id,departamento_nombre,origen_financiamiento,tiene_terapia
94,10580982167009,58,NEUQUÉN,98,PICÚN LEUFÚ,estatal,False
95,10581132167023,58,NEUQUÉN,113,ZAPALA ,estatal,False
96,10581122167032,58,NEUQUÉN,112,ZAPALA ,estatal,False
97,10581052167020,58,NEUQUÉN,105,PICUNCHES,estatal,False
98,12580912367040,58,NEUQUÉN,91,PEHUENCHES,privado,False
99,52580562367225,58,NEUQUÉN,56,LÁCAR,privado,False
100,50260212229094,26,CHUBUT,21,ESCALANTE,estatal,False
101,50260212229097,26,CHUBUT,21,ESCALANTE,estatal,False
102,50260212129096,26,CHUBUT,21,ESCALANTE,estatal,False
103,50260772129098,26,CHUBUT,77,RAWSON,estatal,False
104,50260072129100,26,CHUBUT,7,BIEDMA,estatal,False
105,50260772129102,26,CHUBUT,77,RAWSON,estatal,False
106,50260072129103,26,CHUBUT,7,BIEDMA,estatal,False
107,50260772129104,26,CHUBUT,77,RAWSON,estatal,False
108,50260772129106,26,CHUBUT,77,RAWSON,estatal,False
109,50860772192549,86,SANTIAGO DEL ESTERO,77,GENERAL TABOADA,estatal,False
110,53066652303266,6,BUENOS AIRES,665,RAMALLO,privado,False
111,50063712303396,6,BUENOS AIRES,371,GENERAL SAN MARTÍN,privado,False
112,50068612303603,6,BUENOS AIRES,861,VICENTE LÓPEZ,privado,False
113,10067492200216,6,BUENOS AIRES,749,SAN FERNANDO,estatal,False
114,10661192173022,66,SALTA,119,MOLINOS,estatal,False
115,50380772150257,38,JUJUY,77,SANTA CATALINA,estatal,False
116,50381122150074,38,JUJUY,112,YAVI,estatal,False
117,50220982126126,22,CHACO,98,MAYOR LUIS J. FONTANA,estatal,False
118,50220282126148,22,CHACO,28,CHACABUCO,estatal,False
119,50381122150175,38,JUJUY,112,YAVI,estatal,False
120,10740492180012,74,SAN LUIS,49,JUNÍN,estatal,False
121,10740072180021,74,SAN LUIS,7,AYACUCHO,estatal,False
122,50540282365669,54,MISIONES,28,CAPITAL,privado,False
123,50740422180049,74,SAN LUIS,42,GOBERNADOR DUPUY,estatal,False
124,50740422180120,74,SAN LUIS,42,GOBERNADOR DUPUY,estatal,False
125,50740422180124,74,SAN LUIS,42,GOBERNADOR DUPUY,estatal,False
126,50740352180147,74,SAN LUIS,35,GENERAL PEDERNERA,estatal,False
127,50740352180232,74,SAN LUIS,35,GENERAL PEDERNERA,estatal,False
128,50180422139397,18,CORRIENTES,42,EMPEDRADO,estatal,False
129,50220282126124,22,CHACO,28,CHACABUCO,estatal,False
130,50221402126208,22,CHACO,140,SAN FERNANDO,estatal,False
131,50221402126142,22,CHACO,140,SAN FERNANDO,estatal,False
132,50180212139119,18,CORRIENTES,21,CAPITAL,estatal,False
133,50660492173321,66,SALTA,49,GENERAL GÜEMES,estatal,False
134,50340142147091,34,FORMOSA,14,FORMOSA,estatal,False
