id_provincia,rango,sexo,año,tiene_cobertura,cantidad
30,0 a 14,mujer,2010,True,90966
30,0 a 14,varon,2010,False,71611
30,0 a 14,varon,2010,True,93106
30,15 a 34,mujer,2010,False,84889
30,15 a 34,mujer,2010,True,111225
30,15 a 34,varon,2010,False,88877
30,15 a 34,varon,2010,True,108664
30,35 a 54,mujer,2010,False,43855
30,35 a 54,mujer,2010,True,99612
30,35 a 54,varon,2010,False,49031
30,35 a 54,varon,2010,True,89837
30,55 a 74,mujer,2010,False,12498
30,55 a 74,mujer,2010,True,84331
30,55 a 74,varon,2010,False,19164
30,55 a 74,varon,2010,True,66404
30,75 y mas,mujer,2010,False,1159
30,75 y mas,mujer,2010,True,33764
30,75 y mas,varon,2010,False,638
30,75 y mas,varon,2010,True,17877
34,0 a 14,mujer,2010,False,55246
34,0 a 14,mujer,2010,True,26884
34,0 a 14,varon,2010,False,56675
34,0 a 14,varon,2010,True,28494
34,15 a 34,mujer,2010,False,57378
34,15 a 34,mujer,2010,True,32078
34,15 a 34,varon,2010,False,56765
34,15 a 34,varon,2010,True,29523
34,35 a 54,mujer,2010,False,26945
34,35 a 54,mujer,2010,True,31345
34,35 a 54,varon,2010,False,28353
34,35 a 54,varon,2010,True,26750
34,55 a 74,mujer,2010,False,7977
34,55 a 74,mujer,2010,True,22447
34,55 a 74,varon,2010,False,10790
34,55 a 74,varon,2010,True,19365
34,75 y mas,mujer,2010,False,938
34,75 y mas,mujer,2010,True,6943
34,75 y mas,varon,2010,False,952
34,75 y mas,varon,2010,True,5075
38,0 a 14,mujer,2010,False,46838
38,0 a 14,mujer,2010,True,50495
38,0 a 14,varon,2010,False,48082
38,0 a 14,varon,2010,True,50939
38,15 a 34,mujer,2010,False,65803
38,15 a 34,mujer,2010,True,51869
38,15 a 34,varon,2010,False,63057
38,15 a 34,varon,2010,True,53088
38,35 a 54,mujer,2010,False,29995
38,35 a 54,mujer,2010,True,45869
38,35 a 54,varon,2010,False,29598
38,35 a 54,varon,2010,True,40303
38,55 a 74,mujer,2010,False,8852
38,55 a 74,mujer,2010,True,33372
38,55 a 74,varon,2010,False,10628
38,55 a 74,varon,2010,True,27028
38,75 y mas,mujer,2010,False,1317
38,75 y mas,mujer,2010,True,9639
38,75 y mas,varon,2010,False,656
38,75 y mas,varon,2010,True,6922
42,0 a 14,mujer,2010,False,15193
42,0 a 14,mujer,2010,True,23708
42,0 a 14,varon,2010,False,15847
42,0 a 14,varon,2010,True,24526
42,15 a 34,mujer,2010,False,19588
42,15 a 34,mujer,2010,True,29508
42,15 a 34,varon,2010,False,20554
42,15 a 34,varon,2010,True,29120
42,35 a 54,mujer,2010,False,10499
42,35 a 54,mujer,2010,True,27527
42,35 a 54,varon,2010,False,12504
42,35 a 54,varon,2010,True,25063
42,55 a 74,mujer,2010,False,2854
42,55 a 74,mujer,2010,True,23072
42,55 a 74,varon,2010,False,5417
42,55 a 74,varon,2010,True,19125
42,75 y mas,mujer,2010,False,173
42,75 y mas,mujer,2010,True,9267
42,75 y mas,varon,2010,False,166
42,75 y mas,varon,2010,True,5615
46,0 a 14,mujer,2010,False,20602
46,0 a 14,mujer,2010,True,25373
46,0 a 14,varon,2010,False,20676
46,0 a 14,varon,2010,True,26767
46,15 a 34,mujer,2010,False,27584
46,15 a 34,mujer,2010,True,32749
46,15 a 34,varon,2010,False,28295
46,15 a 34,varon,2010,True,30674
