,Provincia,Grupo etario,Habitantes con Cobertura en 2010,Habitantes sin Cobertura en 2010,Habitantes con Cobertura en 2022,Habitantes sin Cobertura en 2022
87,SAN LUIS,35 a 54,62811.0,36124.0,94724.0,45943.0
88,SAN LUIS,55 a 74,46613.0,11893.0,68273.0,14990.0
89,SAN LUIS,75 y mas,14106.0,674.0,21762.0,462.0
90,SANTA CRUZ,0 a 14,65534.0,10901.0,70684.0,93158.0
91,SANTA CRUZ,15 a 34,75626.0,21571.0,79499.0,136251.0
92,SANTA CRUZ,35 a 54,56204.0,9322.0,80442.0,107750.0
93,SANTA CRUZ,55 a 74,23516.0,3223.0,39463.0,46337.0
94,SANTA FE,0 a 14,441021.0,1076697.0,452587.0,1039305.0
95,SANTA FE,35 a 54,516623.0,943747.0,665152.0,1198934.0
96,SANTA FE,75 y mas,162394.0,168492.0,185946.0,192352.0
97,SANTIAGO DEL ESTERO,15 a 34,100239.0,480145.0,106020.0,604694.0
98,SANTIAGO DEL ESTERO,35 a 54,86627.0,266121.0,127993.0,385053.0
99,SANTIAGO DEL ESTERO,55 a 74,75340.0,131342.0,107298.0,173340.0
100,SANTIAGO DEL ESTERO,75 y mas,25164.0,29204.0,35200.0,37836.0
101,TIERRA DEL FUEGO,0 a 14,28315.0,41299.0,38076.0,47022.0
102,TIERRA DEL FUEGO,15 a 34,33044.0,56920.0,46725.0,75207.0
103,TIERRA DEL FUEGO,35 a 54,27010.0,39636.0,44525.0,59405.0
104,TIERRA DEL FUEGO,55 a 74,9732.0,13424.0,23637.0,27857.0
105,TIERRA DEL FUEGO,75 y mas,1581.0,1679.0,3622.0,3840.0
106,TUCUMÁN,0 a 14,232449.0,583285.0,235890.0,567650.0
107,TUCUMÁN,15 a 34,281901.0,710773.0,315942.0,813760.0
108,TUCUMÁN,35 a 54,206686.0,412258.0,293030.0,570926.0
109,TUCUMÁN,55 a 74,152527.0,219719.0,222595.0,302001.0
110,TUCUMÁN,75 y mas,46546.0,51124.0,64483.0,68397.0
111,SAN JUAN,15 a 34,103621.0,117285.0,110042.0,149705.0
112,SAN JUAN,75 y mas,21961.0,1254.0,33391.0,1080.0
113,ENTRE RÍOS,35 a 54,189449.0,92886.0,244061.0,119523.0
114,NEUQUÉN,15 a 34,112721.0,77870.0,130863.0,91593.0
115,SANTA CRUZ,75 y mas,4705.0,246.0,8664.0,9106.0
116,SANTA FE,15 a 34,643803.0,1458743.0,620254.0,1492838.0
117,SANTA FE,55 a 74,421296.0,561934.0,514108.0,676642.0
118,SANTIAGO DEL ESTERO,0 a 14,98307.0,454819.0,88477.0,449593.0
119,FORMOSA,75 y mas,12018.0,1890.0,18927.0,1567.0
